Rank,Country,Population,Gold,Silver,Bronze
1,Russian Fed.,143700000,13,11,9
2,Norway,5109056,11,5,10
3,Canada,35295770,10,10,5
4,United States,317620000,9,7,12
5,Netherlands,16840100,8,7,9
6,Germany,80619000,8,6,5
7,Switzerland,8112200,6,3,2
8,Belarus,9468100,5,0,1
9,Austria,8504850,4,8,5
10,France,65844000,4,4,7
11,Poland,38502396,4,1,1
12,China,1360720000,3,4,2
13,Korea,50219669,3,3,2
14,Sweden,9644864,2,7,6
15,Czech Republic,10513800,2,4,2
16,Slovenia,2061798,2,2,4
17,Japan,127180000,1,4,3
18,Finland,5452821,1,3,1
19,Great Britain,63705000,1,1,2
20,Ukraine,45426200,1,0,1
21,Slovakia,5415459,1,0,0
22,Italy,59943933,0,2,6
23,Latvia,2005200,0,2,2
24,Australia,23398147,0,2,1
25,Croatia,4290612,0,1,0
26,Kazakhstan,17165000,0,0,1
